Iteration	AverageReturn	StdReturn
0	23.952911637620073	1.1873879670320182
1	823.7770061727399	781.1524557898636
2	2478.674628316689	1295.7845773753863
3	1619.509105959	1377.312915923881
4	5038.893126815323	831.7240549958922
5	4085.6138591159192	2215.511421616737
6	4575.302460632895	1581.3363000837896
7	4871.3305563090225	1313.658280155371
8	5135.797982534839	820.6288300299154
9	5403.920025305436	553.1660972231977
10	5543.6572944303125	31.620656295069033
