,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-144.71973441856238,-58.75979938166302,-197.6310270405278,40.89145502617459,,
1,0,85.42044403506038,187.4400030769711,-32.55657371040126,75.74991386351942,0.01893196441233158,1.0144850015640259
2,1,131.920532860344,179.5817550793798,90.9952848890691,24.68918024334397,0.01934722252190113,0.24620036780834198
3,2,217.81127533087502,248.91279622649796,173.30246982755943,27.150220470611767,0.02393091842532158,0.029812540858983994
4,3,275.9938308081049,360.7022827672433,105.57421525691309,65.38259377897728,0.0062231263145804405,0.02134959027171135
5,4,189.17696725157174,286.45458557086914,122.68126892654593,48.72581224250176,0.01706770434975624,0.021429458633065224
6,5,321.9772980330444,446.53792942745844,208.68052989255918,73.57572918547362,0.01801713928580284,0.01700938679277897
7,6,270.20274125627344,405.6392738420833,-158.99080292810646,151.22010427142632,0.021788980811834335,0.013291759416460991
8,7,250.1709921771539,380.7106256584274,156.69936093021704,60.96918227127931,0.014827813021838665,8.144956588745117
9,8,284.9928227936499,352.8239949845899,223.2827230337839,44.38527134030877,0.02082057110965252,0.019221941009163857
10,9,263.00237127074354,378.5272211855172,185.04148020908616,54.44332001445606,0.018565502017736435,0.02354135550558567
11,10,144.04300292171462,207.63770191990056,97.42199246104168,34.01019188785299,0.014139833860099316,0.01709604077041149
