,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-168.25204645285208,-119.25334996382384,-230.13215638095866,39.065013459459884,,
1,0,-8.336305129394779,33.298719088881626,-53.298220677736616,21.65985948079202,0.014146785251796246,1.0100370645523071
2,1,70.61003091614873,124.87518822150253,34.26787404238844,29.841173714733024,0.009447376243770123,0.03275493159890175
3,2,33.8813245119743,66.8132311624495,-27.760385155546082,29.859225748898325,0.010703626088798046,0.010564428754150867
4,3,88.11205953163996,156.8519808194909,26.390173724873385,35.34720636871011,0.008043195120990276,0.008966537192463875
5,4,106.69417114547721,159.3663824916772,62.78159318145478,23.226198715973386,0.008020268753170967,0.011196685023605824
6,5,112.37647857472436,192.25002687530286,48.59205436653201,47.31429938660826,0.00911233015358448,0.007014153990894556
7,6,100.08241188518176,193.88910939557616,44.44702833891724,44.45474883403524,0.007118286099284887,0.012200592085719109
8,7,96.02761683469866,124.81899365071259,60.46788236467674,19.117127305067577,0.005446047522127628,0.008421597070991993
9,8,29.61415935709208,69.55105166994386,-8.727072744964069,23.79092551696761,0.009254831820726395,0.02848900482058525
10,9,-7.9573846231325565,93.2569675303311,-129.08818625490053,76.57020576087523,0.008927236311137676,0.008910061791539192
11,10,28.442955943598832,64.383292333479,-12.721167530337318,24.664169644797663,0.018876997753977776,30.490978240966797
