,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-157.47428106984896,-82.09147483730803,-260.3437328466166,46.372771284863084,,
1,0,126.17791013052636,145.09834136641197,99.22658882267308,13.638210552300501,0.014823777601122856,1.0599822998046875
2,1,63.81624864854784,115.82082373844844,25.377862900698958,21.724512755004277,0.013015883043408394,0.07225706428289413
3,2,229.94649057970273,312.5533166433157,141.18767494733476,48.9030237056005,0.01053652260452509,0.019420715048909187
4,3,103.502831789755,154.28422277586463,22.75182356942741,31.558370036525705,0.007406082935631275,0.011747540906071663
5,4,132.45228134223345,199.80476524225327,87.86112656591635,37.059077392627195,0.009717161767184734,0.010813473723828793
6,5,160.05508422335282,229.5561210408108,106.21796945948097,42.00107191197694,0.008770505897700787,0.010452086105942726
7,6,202.3916383480727,230.55691129462218,158.10696307366032,24.71445690645468,0.009489049203693867,0.009163295850157738
8,7,168.31691482489083,224.03588320086038,109.90910417667293,28.91619283962348,0.006981553975492716,0.008658474311232567
9,8,173.35657469708707,230.41485347917603,126.24431766092084,33.30545445807972,0.008060164749622345,0.007870839908719063
10,9,156.6087041634088,234.4224407051459,66.31441736345204,43.81223793453002,0.008357635699212551,0.008465872146189213
11,10,185.15726443456418,277.1109045986633,117.13420249180868,51.06596596972017,0.007586695719510317,0.008964145556092262
