Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.831991195678711	0	20.77686	11.780349	70.0	8.0	20.776859504132233	11.780350359819339	5028	5028
6.957331895828247	1	24.965174	15.30531	95.0	8.0	24.965174129353233	15.30531014066743	5018	10046
9.727984189987183	2	26.9418	16.75664	121.0	8.0	26.941798941798943	16.75663965194645	5092	15138
12.530628204345703	3	33.48	21.216257	126.0	10.0	33.48	21.216257916984326	5022	20160
15.800827026367188	4	39.714287	22.570475	122.0	10.0	39.714285714285715	22.57047416105553	5004	25164
19.236456155776978	5	41.758335	20.683325	112.0	12.0	41.75833333333333	20.683324939563164	5011	30175
22.323488473892212	6	45.98165	23.464195	136.0	12.0	45.981651376146786	23.4641955043733	5012	35187
25.208722352981567	7	51.938145	28.410763	200.0	12.0	51.93814432989691	28.410762601662682	5038	40225
28.648765325546265	8	55.35165	23.65381	155.0	19.0	55.35164835164835	23.653809779043137	5037	45262
31.663544178009033	9	59.11628	26.51477	144.0	18.0	59.116279069767444	26.514769295731032	5084	50346
35.05637860298157	10	55.252747	23.637182	136.0	13.0	55.252747252747255	23.637181274560817	5028	55374
38.297598123550415	11	63.83544	28.263422	175.0	12.0	63.835443037974684	28.26342198446734	5043	60417
41.50504732131958	12	63.35443	28.09299	193.0	18.0	63.35443037974684	28.0929911411692	5005	65422
44.88460850715637	13	74.29412	34.11316	200.0	31.0	74.29411764705883	34.11315893400592	5052	70474
48.317771434783936	14	73.67647	31.50651	200.0	17.0	73.67647058823529	31.506507813499045	5010	75484
51.79235625267029	15	80.79032	33.570408	173.0	35.0	80.79032258064517	33.57040608053574	5009	80493
55.216646909713745	16	99.05882	34.08088	186.0	40.0	99.05882352941177	34.080879444550085	5052	85545
58.546316623687744	17	98.5098	33.826763	186.0	39.0	98.50980392156863	33.826763130443354	5024	90569
61.184526205062866	18	123.46342	48.074688	200.0	43.0	123.46341463414635	48.07468659054678	5062	95631
64.65788292884827	19	130.64102	37.497	200.0	46.0	130.64102564102564	37.4969996608188	5095	100726
68.13512706756592	20	171.06667	32.67102	200.0	105.0	171.06666666666666	32.67102011807338	5132	105858
71.25611209869385	21	181.0	27.83754	200.0	114.0	181.0	27.83753888957448	5068	110926
74.4860291481018	22	162.03226	51.284454	200.0	22.0	162.03225806451613	51.28445898720999	5023	115949
77.33693861961365	23	165.58064	46.75521	200.0	61.0	165.58064516129033	46.75521305662999	5133	121082
80.97599196434021	24	163.93549	38.865307	200.0	73.0	163.93548387096774	38.865305436872006	5082	126164
84.36012983322144	25	166.67741	41.98724	200.0	75.0	166.67741935483872	41.98723853496302	5167	131331
87.35381984710693	26	164.19354	49.779137	200.0	39.0	164.19354838709677	49.779137588168915	5090	136421
90.6240701675415	27	174.48276	37.71364	200.0	69.0	174.48275862068965	37.71364034738732	5060	141481
94.37152338027954	28	186.03703	34.480785	200.0	81.0	186.03703703703704	34.4807852895466	5023	146504
97.96517610549927	29	180.25	36.6193	200.0	83.0	180.25	36.61930111683884	5047	151551
101.05782985687256	30	192.5	21.246267	200.0	102.0	192.5	21.24626664037346	5005	156556
105.1492931842804	31	186.37038	33.56271	200.0	88.0	186.37037037037038	33.5627087461865	5032	161588
108.676589012146	32	188.81482	28.709318	200.0	89.0	188.8148148148148	28.709318447264597	5098	166686
111.70661163330078	33	196.65384	14.855567	200.0	123.0	196.65384615384616	14.855566964020095	5113	171799
114.87024784088135	34	198.03847	9.807693	200.0	149.0	198.03846153846155	9.807692307692308	5149	176948
118.05339694023132	35	200.0	0.0	200.0	200.0	200.0	0.0	5200	182148
121.31124877929688	36	200.0	0.0	200.0	200.0	200.0	0.0	5200	187348
124.74379754066467	37	200.0	0.0	200.0	200.0	200.0	0.0	5200	192548
128.14036297798157	38	200.0	0.0	200.0	200.0	200.0	0.0	5200	197748
131.73297262191772	39	197.88461	9.274974	200.0	152.0	197.8846153846154	9.274974281850817	5145	202893
134.76565313339233	40	200.0	0.0	200.0	200.0	200.0	0.0	5200	208093
138.07567262649536	41	198.07692	5.803998	200.0	174.0	198.07692307692307	5.8039978060423465	5150	213243
141.54754042625427	42	199.1923	3.6587012	200.0	181.0	199.19230769230768	3.6587012278342996	5179	218422
145.26197123527527	43	195.0	10.908712	200.0	153.0	195.0	10.908712114635714	5070	223492
148.76917576789856	44	191.33333	29.419067	200.0	48.0	191.33333333333334	29.4190666317183	5166	228658
152.0932309627533	45	192.37038	14.727521	200.0	145.0	192.37037037037038	14.727520593290263	5194	233852
155.59553933143616	46	196.92308	7.3165936	200.0	172.0	196.92307692307693	7.316593768872113	5120	238972
159.623432636261	47	198.15384	5.5518007	200.0	173.0	198.15384615384616	5.55180017715881	5152	244124
163.1934552192688	48	198.23077	4.814303	200.0	179.0	198.23076923076923	4.814303147175031	5154	249278
166.33412194252014	49	198.15384	6.4491644	200.0	173.0	198.15384615384616	6.449163974991748	5152	254430
169.32180547714233	50	198.73077	5.273721	200.0	173.0	198.73076923076923	5.273720714781434	5167	259597
172.70497179031372	51	199.07692	4.615384	200.0	176.0	199.07692307692307	4.615384615384616	5176	264773
176.74677324295044	52	197.84616	5.3972383	200.0	176.0	197.84615384615384	5.397237952396846	5144	269917
180.32604813575745	53	194.57692	16.506813	200.0	127.0	194.57692307692307	16.506812292838553	5059	274976
183.33962225914001	54	189.77777	12.864921	200.0	160.0	189.77777777777777	12.864920242252037	5124	280100
186.60553336143494	55	180.28572	20.646439	200.0	138.0	180.28571428571428	20.646440618278046	5048	285148
