Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
1100000	-11.76	-11.76	824	0.099625	0.0001
1110000	-11.54	-11.54	828	0.09958750000000001	0.0001
1120000	-11.43	-11.43	831	0.09955	0.0001
1130000	-11.15	-11.15	834	0.0995125	0.0001
1140000	-10.88	-10.88	838	0.09947500000000001	0.0001
1150000	-10.74	-10.74	841	0.09943750000000001	0.0001
1160000	-10.66	-10.66	844	0.0994	0.0001
1170000	-10.41	-10.41	847	0.0993625	0.0001
1180000	-10.2	-10.2	851	0.09932500000000001	0.0001
1190000	-9.97	-9.97	855	0.0992875	0.0001
1200000	-9.94	-9.94	859	0.09925	0.0001
1210000	-9.82	-9.82	862	0.09921250000000001	0.0001
1220000	-9.66	-9.66	866	0.099175	0.0001
1230000	-9.54	-9.54	869	0.0991375	0.0001
1240000	-9.29	-9.29	872	0.09910000000000001	0.0001
1250000	-9.17	-9.17	876	0.09906250000000001	0.0001
1260000	-9.07	-9.05	879	0.099025	0.0001
1270000	-8.92	-8.92	882	0.0989875	0.0001
1280000	-8.63	-8.63	885	0.09895000000000001	0.0001
1290000	-8.45	-8.43	889	0.0989125	0.0001
1300000	-8.27	-8.23	892	0.098875	0.0001
1310000	-8.12	-8.12	895	0.09883750000000001	0.0001
1320000	-7.99	-7.99	899	0.0988	0.0001
1330000	-7.92	-7.91	902	0.0987625	0.0001
1340000	-7.62	-7.62	905	0.09872500000000001	0.0001
1350000	-7.54	-7.54	908	0.09868750000000001	0.0001
1360000	-7.54	-7.54	911	0.09865	0.0001
1370000	-7.48	-7.48	914	0.0986125	0.0001
1380000	-7.52	-7.48	917	0.09857500000000001	0.0001
1390000	-7.21	-7.21	920	0.0985375	0.0001
1400000	-7.11	-7.09	923	0.0985	0.0001
1410000	-7.03	-7.02	926	0.09846250000000001	0.0001
1420000	-6.89	-6.89	929	0.098425	0.0001
1430000	-6.79	-6.79	931	0.0983875	0.0001
1440000	-6.7	-6.7	935	0.09835	0.0001
1450000	-6.63	-6.63	937	0.09831250000000001	0.0001
1460000	-6.49	-6.49	940	0.098275	0.0001
1470000	-6.31	-6.31	943	0.0982375	0.0001
1480000	-6.0	-6.0	946	0.09820000000000001	0.0001
1490000	-5.93	-5.93	949	0.0981625	0.0001
1500000	-5.75	-5.75	952	0.098125	0.0001
1510000	-5.48	-5.48	955	0.09808750000000001	0.0001
1520000	-5.25	-5.25	958	0.09805	0.0001
1530000	-5.16	-5.1	961	0.0980125	0.0001
1540000	-5.03	-5.03	965	0.097975	0.0001
1550000	-4.97	-4.97	968	0.09793750000000001	0.0001
1560000	-4.8	-4.8	970	0.0979	0.0001
1570000	-4.71	-4.71	973	0.0978625	0.0001
1580000	-4.41	-4.41	976	0.09782500000000001	0.0001
1590000	-4.3	-4.3	978	0.0977875	0.0001
1600000	-4.09	-4.04	981	0.09775	0.0001
1610000	-3.85	-3.85	984	0.09771250000000001	0.0001
1620000	-3.69	-3.69	986	0.09767500000000001	0.0001
1630000	-3.71	-3.69	988	0.0976375	0.0001
1640000	-3.61	-3.51	991	0.0976	0.0001
1650000	-3.66	-3.51	994	0.09756250000000001	0.0001
1660000	-3.49	-3.49	997	0.097525	0.0001
1670000	-3.12	-3.12	999	0.0974875	0.0001
1680000	-2.95	-2.95	1002	0.09745000000000001	0.0001
1690000	-2.89	-2.86	1004	0.0974125	0.0001
1700000	-2.89	-2.86	1006	0.097375	0.0001
1710000	-2.78	-2.78	1008	0.09733750000000001	0.0001
1720000	-2.62	-2.62	1011	0.09730000000000001	0.0001
1730000	-2.37	-2.37	1013	0.0972625	0.0001
1740000	-2.18	-2.18	1015	0.097225	0.0001
1750000	-1.96	-1.9	1018	0.09718750000000001	0.0001
1760000	-1.89	-1.89	1021	0.09715	0.0001
1770000	-1.68	-1.68	1023	0.0971125	0.0001
1780000	-1.65	-1.65	1025	0.09707500000000001	0.0001
1790000	-1.49	-1.49	1027	0.0970375	0.0001
1800000	-1.33	-1.33	1029	0.097	0.0001
1810000	-1.32	-1.29	1032	0.09696250000000001	0.0001
1820000	-1.12	-1.12	1034	0.09692500000000001	0.0001
1830000	-0.98	-0.98	1036	0.0968875	0.0001
1840000	-0.83	-0.82	1039	0.09685	0.0001
1850000	-0.68	-0.68	1041	0.09681250000000001	0.0001
1860000	-0.43	-0.43	1044	0.096775	0.0001
1870000	-0.44	-0.43	1046	0.0967375	0.0001
1880000	-0.42	-0.42	1048	0.09670000000000001	0.0001
1890000	-0.01	-0.01	1051	0.0966625	0.0001
1900000	0.02	0.02	1053	0.096625	0.0001
1910000	0.28	0.28	1056	0.0965875	0.0001
1920000	0.46	0.46	1058	0.09655000000000001	0.0001
1930000	0.76	0.76	1061	0.0965125	0.0001
1940000	1.1	1.1	1064	0.096475	0.0001
1950000	1.47	1.47	1066	0.09643750000000001	0.0001
1960000	1.6	1.6	1069	0.0964	0.0001
1970000	1.94	1.94	1072	0.0963625	0.0001
1980000	2.09	2.09	1074	0.09632500000000001	0.0001
1990000	2.31	2.31	1077	0.0962875	0.0001
2000000	2.42	2.42	1080	0.09625	0.0001
2010000	2.48	2.48	1082	0.0962125	0.0001
2020000	2.42	2.51	1085	0.09617500000000001	0.0001
2030000	2.59	2.59	1087	0.0961375	0.0001
2040000	2.79	2.79	1090	0.0961	0.0001
2050000	2.98	2.98	1092	0.09606250000000001	0.0001
2060000	3.18	3.18	1095	0.096025	0.0001
2070000	3.27	3.27	1097	0.0959875	0.0001
2080000	3.34	3.34	1100	0.09595000000000001	0.0001
2090000	3.27	3.36	1103	0.09591250000000001	0.0001
2100000	3.45	3.45	1105	0.095875	0.0001
2110000	3.65	3.65	1108	0.0958375	0.0001
2120000	3.93	3.93	1111	0.09580000000000001	0.0001
2130000	3.74	3.93	1114	0.0957625	0.0001
2140000	3.77	3.93	1116	0.095725	0.0001
2150000	3.98	3.98	1119	0.09568750000000001	0.0001
2160000	4.12	4.12	1122	0.09565	0.0001
2170000	4.36	4.36	1125	0.0956125	0.0001
2180000	4.62	4.62	1128	0.09557500000000001	0.0001
2190000	4.92	4.92	1131	0.09553750000000001	0.0001
2200000	4.88	5.01	1133	0.0955	0.0001
2210000	5.02	5.02	1136	0.0954625	0.0001
2220000	5.39	5.39	1140	0.09542500000000001	0.0001
2230000	5.51	5.51	1143	0.0953875	0.0001
2240000	5.73	5.73	1146	0.09535	0.0001
2250000	5.87	5.87	1149	0.09531250000000001	0.0001
2260000	5.98	5.98	1152	0.095275	0.0001
2270000	6.02	6.13	1155	0.0952375	0.0001
2280000	6.06	6.13	1158	0.0952	0.0001
2290000	6.34	6.34	1162	0.09516250000000001	0.0001
2300000	6.53	6.53	1165	0.095125	0.0001
2310000	6.72	6.72	1168	0.0950875	0.0001
2320000	6.89	6.89	1171	0.09505000000000001	0.0001
2330000	7.07	7.07	1175	0.0950125	0.0001
2340000	7.15	7.2	1178	0.094975	0.0001
2350000	7.65	7.65	1182	0.09493750000000001	0.0001
2360000	8.1	8.1	1186	0.09490000000000001	0.0001
2370000	8.23	8.23	1189	0.0948625	0.0001
2380000	8.46	8.46	1192	0.094825	0.0001
2390000	8.69	8.69	1195	0.09478750000000001	0.0001
2400000	8.8	8.8	1198	0.09475	0.0001
2410000	8.88	8.88	1201	0.0947125	0.0001
2420000	9.16	9.16	1205	0.09467500000000001	0.0001
2430000	9.4	9.4	1209	0.0946375	0.0001
2440000	9.51	9.51	1212	0.0946	0.0001
2450000	9.97	9.97	1216	0.09456250000000001	0.0001
2460000	10.03	10.03	1219	0.094525	0.0001
2470000	9.88	10.08	1222	0.0944875	0.0001
2480000	10.02	10.08	1226	0.09445	0.0001
2490000	10.14	10.14	1229	0.09441250000000001	0.0001
2500000	10.32	10.32	1233	0.094375	0.0001
2510000	10.42	10.43	1236	0.0943375	0.0001
2520000	10.45	10.5	1239	0.09430000000000001	0.0001
2530000	10.38	10.5	1242	0.0942625	0.0001
2540000	10.44	10.5	1245	0.094225	0.0001
2550000	10.44	10.5	1249	0.09418750000000001	0.0001
2560000	10.47	10.5	1252	0.09415000000000001	0.0001
2570000	10.67	10.68	1256	0.0941125	0.0001
2580000	10.89	10.89	1259	0.094075	0.0001
