,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-173.42677345922215,-120.32846932110714,-247.60427818488924,35.989954771752714,,
1,0,133.77115836624154,194.3955691141452,91.14807241355821,34.175740899086634,0.004267468582838774,0.9933990240097046
2,1,262.0793827363065,309.64724822303884,197.64058919799265,31.71248590979961,0.005263836123049259,0.021326297894120216
3,2,309.1271752248084,385.2600572784992,269.2118477697875,30.77502566577079,0.004796329420059919,0.011397418566048145
4,3,378.23511225186587,464.7332218963881,321.41790497956083,37.400085295263615,0.0032052062451839447,0.007473205216228962
5,4,380.74214731164506,442.2762715057386,280.67021774244836,52.47135301787705,0.0033252802677452564,0.00752305518835783
6,5,410.91741728964826,479.5075354558242,348.3317061691922,39.07832071452317,0.0031609893776476383,0.003753233002498746
7,6,360.4965381200247,423.6752096005658,291.82066952763546,37.54393322614872,0.003349069971591234,0.0035454188473522663
8,7,360.41482626373573,402.6297539488093,325.213987061538,23.76587502262193,0.0029916693456470966,0.00375559413805604
9,8,347.2093490770039,372.0366822728916,316.3772229053346,16.888463441365353,0.004947415553033352,0.004930592607706785
10,9,323.8050905086899,398.9228019890213,272.19345577542913,39.692704754459236,0.0027936811093240976,0.004972974304109812
11,10,382.6362287429704,439.56964146829966,334.9926457714165,33.72716473702274,0.0022572879679501057,0.0034941888879984617
