Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
1100000	-13.39	-13.3	802	0.099625	0.0001
1110000	-13.25	-13.14	805	0.09958750000000001	0.0001
1120000	-13.11	-13.11	809	0.09955	0.0001
1130000	-13.09	-13.08	812	0.0995125	0.0001
1140000	-13.02	-13.0	816	0.09947500000000001	0.0001
1150000	-12.82	-12.82	820	0.09943750000000001	0.0001
1160000	-12.58	-12.58	823	0.0994	0.0001
1170000	-12.38	-12.38	826	0.0993625	0.0001
1180000	-12.29	-12.29	830	0.09932500000000001	0.0001
1190000	-12.23	-12.21	833	0.0992875	0.0001
1200000	-12.16	-12.15	837	0.09925	0.0001
1210000	-12.07	-12.07	840	0.09921250000000001	0.0001
1220000	-11.95	-11.95	843	0.099175	0.0001
1230000	-11.67	-11.67	847	0.0991375	0.0001
1240000	-11.63	-11.63	850	0.09910000000000001	0.0001
1250000	-11.55	-11.55	853	0.09906250000000001	0.0001
1260000	-11.28	-11.28	856	0.099025	0.0001
1270000	-11.17	-11.17	860	0.0989875	0.0001
1280000	-11.01	-11.01	863	0.09895000000000001	0.0001
1290000	-10.89	-10.88	867	0.0989125	0.0001
1300000	-10.69	-10.69	870	0.098875	0.0001
1310000	-10.54	-10.54	873	0.09883750000000001	0.0001
1320000	-10.05	-10.05	876	0.0988	0.0001
1330000	-9.92	-9.87	879	0.0987625	0.0001
1340000	-9.8	-9.8	882	0.09872500000000001	0.0001
1350000	-9.61	-9.61	885	0.09868750000000001	0.0001
1360000	-9.53	-9.51	888	0.09865	0.0001
1370000	-9.45	-9.45	891	0.0986125	0.0001
1380000	-9.33	-9.33	894	0.09857500000000001	0.0001
1390000	-9.25	-9.25	897	0.0985375	0.0001
1400000	-8.95	-8.95	900	0.0985	0.0001
1410000	-8.88	-8.78	904	0.09846250000000001	0.0001
1420000	-8.72	-8.72	907	0.098425	0.0001
1430000	-8.47	-8.47	910	0.0983875	0.0001
1440000	-8.1	-8.1	913	0.09835	0.0001
1450000	-7.8	-7.8	916	0.09831250000000001	0.0001
1460000	-7.76	-7.69	919	0.098275	0.0001
1470000	-7.68	-7.68	922	0.0982375	0.0001
1480000	-7.64	-7.64	924	0.09820000000000001	0.0001
1490000	-7.41	-7.41	927	0.0981625	0.0001
1500000	-7.03	-7.03	930	0.098125	0.0001
1510000	-6.88	-6.88	932	0.09808750000000001	0.0001
1520000	-6.55	-6.55	935	0.09805	0.0001
1530000	-6.32	-6.32	937	0.0980125	0.0001
1540000	-6.07	-6.07	941	0.097975	0.0001
1550000	-5.91	-5.91	944	0.09793750000000001	0.0001
1560000	-5.82	-5.79	947	0.0979	0.0001
1570000	-5.65	-5.63	950	0.0978625	0.0001
1580000	-5.41	-5.41	952	0.09782500000000001	0.0001
1590000	-5.23	-5.23	955	0.0977875	0.0001
1600000	-4.88	-4.88	958	0.09775	0.0001
1610000	-4.58	-4.58	961	0.09771250000000001	0.0001
1620000	-4.36	-4.36	964	0.09767500000000001	0.0001
1630000	-4.08	-4.08	966	0.0976375	0.0001
1640000	-3.83	-3.83	969	0.0976	0.0001
1650000	-3.56	-3.56	971	0.09756250000000001	0.0001
1660000	-3.29	-3.29	974	0.097525	0.0001
1670000	-3.3	-3.29	976	0.0974875	0.0001
1680000	-3.04	-3.04	979	0.09745000000000001	0.0001
1690000	-2.82	-2.82	981	0.0974125	0.0001
1700000	-2.4	-2.4	984	0.097375	0.0001
1710000	-2.06	-2.06	987	0.09733750000000001	0.0001
1720000	-1.85	-1.85	989	0.09730000000000001	0.0001
1730000	-1.47	-1.47	992	0.0972625	0.0001
1740000	-1.17	-1.17	995	0.097225	0.0001
1750000	-1.05	-1.05	997	0.09718750000000001	0.0001
1760000	-0.91	-0.91	1000	0.09715	0.0001
1770000	-0.47	-0.47	1003	0.0971125	0.0001
1780000	-0.21	-0.21	1005	0.09707500000000001	0.0001
1790000	-0.03	-0.03	1007	0.0970375	0.0001
1800000	0.22	0.22	1010	0.097	0.0001
1810000	0.39	0.51	1014	0.09696250000000001	0.0001
1820000	0.59	0.59	1016	0.09692500000000001	0.0001
1830000	1.02	1.02	1019	0.0968875	0.0001
1840000	1.34	1.34	1022	0.09685	0.0001
1850000	1.53	1.53	1024	0.09681250000000001	0.0001
1860000	1.75	1.75	1027	0.096775	0.0001
1870000	2.05	2.05	1030	0.0967375	0.0001
1880000	2.15	2.16	1033	0.09670000000000001	0.0001
1890000	2.24	2.24	1035	0.0966625	0.0001
1900000	2.39	2.39	1038	0.096625	0.0001
