Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
10000	-233.44418665879428	-inf	68	0.804	0.0001
20000	-226.24225025017458	-225.74922468753587	109	0.608	0.0001
30000	-217.2817490450516	-217.2817490450516	120	0.41200000000000003	0.0001
40000	-197.4512190528038	-197.4512190528038	130	0.21599999999999997	0.0001
50000	-179.58759408057531	-179.58759408057531	140	0.02	0.0001
60000	-174.94336549368313	-173.72153023184012	150	0.02	0.0001
70000	-157.29661037076795	-157.29661037076795	160	0.02	0.0001
80000	-154.7165105584818	-153.22250441418677	170	0.02	0.0001
90000	-144.83050867041226	-144.83050867041226	180	0.02	0.0001
100000	-133.62908630898056	-130.41653849130017	192	0.02	0.0001
110000	-109.46584203858109	-109.46584203858109	210	0.02	0.0001
120000	-97.78214506650828	-97.78214506650828	227	0.02	0.0001
130000	-71.25087205980078	-71.25087205980078	244	0.02	0.0001
140000	-57.06517610255074	-57.06517610255074	259	0.02	0.0001
150000	-39.381487923640066	-39.381487923640066	274	0.02	0.0001
160000	-27.88234764242783	-27.88234764242783	287	0.02	0.0001
170000	-5.983082654326278	-5.983082654326278	302	0.02	0.0001
180000	5.9174001015187025	5.9174001015187025	316	0.02	0.0001
190000	16.627926484028105	21.33201686867569	333	0.02	0.0001
200000	18.553094054059876	21.33201686867569	346	0.02	0.0001
210000	32.19364606959228	32.19364606959228	363	0.02	0.0001
220000	53.10245491131646	53.10245491131646	382	0.02	0.0001
230000	66.56204672543004	66.56204672543004	400	0.02	0.0001
240000	88.0634419706878	88.0634419706878	421	0.02	0.0001
250000	115.39383463719325	115.39383463719325	447	0.02	0.0001
260000	131.5073330964026	131.79071357500797	469	0.02	0.0001
270000	152.68455176960336	152.68455176960336	492	0.02	0.0001
280000	167.47581578534755	167.73948210695679	518	0.02	0.0001
290000	171.8997242443945	172.55705681475717	546	0.02	0.0001
300000	176.89912648305807	177.94599310419082	576	0.02	0.0001
310000	174.11418315215798	178.82853716822592	606	0.02	0.0001
320000	170.46042284959915	178.82853716822592	638	0.02	0.0001
330000	166.26685040233667	178.82853716822592	668	0.02	0.0001
340000	163.85768355668606	178.82853716822592	700	0.02	0.0001
350000	169.09268300746731	178.82853716822592	736	0.02	0.0001
360000	173.6626420383479	178.82853716822592	768	0.02	0.0001
370000	172.89237264047821	178.82853716822592	795	0.02	0.0001
380000	180.22121040109639	183.67309000282643	830	0.02	0.0001
390000	179.37190300712072	183.67309000282643	860	0.02	0.0001
400000	178.12518394401627	183.67309000282643	892	0.02	0.0001
410000	165.60714346029454	183.67309000282643	921	0.02	0.0001
420000	161.8177046613229	183.67309000282643	954	0.02	0.0001
430000	155.90440418843534	183.67309000282643	983	0.02	0.0001
440000	151.23446628282247	183.67309000282643	1011	0.02	0.0001
450000	151.08029772161723	183.67309000282643	1042	0.02	0.0001
460000	152.25358087455646	183.67309000282643	1072	0.02	0.0001
470000	153.76411684355836	183.67309000282643	1103	0.02	0.0001
480000	160.27378830386417	183.67309000282643	1132	0.02	0.0001
490000	155.6249174358255	183.67309000282643	1160	0.02	0.0001
500000	154.52932757134005	183.67309000282643	1187	0.02	0.0001
