Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
10000	-308.8989947037926	-inf	82	0.804	1e-05
20000	-260.95538579776667	-260.95538579776667	154	0.608	1e-05
30000	-207.24575027162626	-207.24575027162626	189	0.41200000000000003	1e-05
40000	-192.72129334809873	-192.63426171450024	204	0.21599999999999997	1e-05
50000	-174.72983387581266	-174.72983387581266	214	0.02	1e-05
60000	-174.2893945123914	-169.3315571665461	226	0.02	1e-05
70000	-165.95986840093127	-165.95986840093127	239	0.02	1e-05
80000	-173.28772307832986	-165.95986840093127	251	0.02	1e-05
90000	-170.69313913212446	-165.95986840093127	262	0.02	1e-05
100000	-165.18803994396706	-164.57250975686293	273	0.02	1e-05
110000	-156.35579807027955	-156.35579807027955	284	0.02	1e-05
120000	-143.54074005892838	-143.54074005892838	294	0.02	1e-05
130000	-136.9799443320473	-136.89020698561154	304	0.02	1e-05
140000	-138.25537235095655	-136.89020698561154	314	0.02	1e-05
150000	-133.06965167486845	-133.06965167486845	324	0.02	1e-05
160000	-130.471088797642	-130.22299553341279	335	0.02	1e-05
170000	-128.77593648799933	-128.77593648799933	345	0.02	1e-05
180000	-126.49274694238974	-126.49274694238974	355	0.02	1e-05
190000	-123.82310321692488	-123.82310321692488	365	0.02	1e-05
200000	-124.39454959224064	-123.82310321692488	375	0.02	1e-05
210000	-124.52538326327107	-123.82310321692488	386	0.02	1e-05
220000	-125.75594639807804	-123.82310321692488	396	0.02	1e-05
230000	-125.86788148684029	-123.82310321692488	406	0.02	1e-05
240000	-126.12364586908592	-123.82310321692488	417	0.02	1e-05
250000	-126.81925260124433	-123.82310321692488	428	0.02	1e-05
260000	-126.67254963520946	-123.82310321692488	438	0.02	1e-05
270000	-127.29748146613342	-123.82310321692488	448	0.02	1e-05
280000	-128.24165796547013	-123.82310321692488	458	0.02	1e-05
290000	-129.11641510659075	-123.82310321692488	468	0.02	1e-05
300000	-129.4239667613581	-123.82310321692488	479	0.02	1e-05
310000	-129.74925168121064	-123.82310321692488	489	0.02	1e-05
320000	-131.11251635446806	-123.82310321692488	499	0.02	1e-05
330000	-131.18769913047075	-123.82310321692488	510	0.02	1e-05
340000	-132.991284422736	-123.82310321692488	520	0.02	1e-05
350000	-132.24614046558784	-123.82310321692488	530	0.02	1e-05
360000	-134.14203669453832	-123.82310321692488	541	0.02	1e-05
370000	-133.74379710723233	-123.82310321692488	551	0.02	1e-05
380000	-133.98843391930268	-123.82310321692488	561	0.02	1e-05
390000	-134.78106221972365	-123.82310321692488	571	0.02	1e-05
400000	-134.48422580567885	-123.82310321692488	582	0.02	1e-05
410000	-133.80623564852894	-123.82310321692488	592	0.02	1e-05
420000	-135.9358089314896	-123.82310321692488	603	0.02	1e-05
430000	-133.1157400850142	-123.82310321692488	615	0.02	1e-05
440000	-132.77308011040003	-123.82310321692488	625	0.02	1e-05
450000	-132.91871458228664	-123.82310321692488	636	0.02	1e-05
460000	-131.94258550625608	-123.82310321692488	647	0.02	1e-05
470000	-127.72631643000388	-123.82310321692488	657	0.02	1e-05
480000	-124.8126984376623	-123.82310321692488	668	0.02	1e-05
490000	-125.38779184239698	-123.82310321692488	681	0.02	1e-05
500000	-126.36603923542474	-123.82310321692488	691	0.02	1e-05
