,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-142.85372470567899,-68.1206255058986,-205.86555937848172,46.90543838440003,,
1,0,98.85350563978704,160.63029016836958,70.68808404508935,31.17943531507382,0.017014047130942345,1.0302002429962158
2,1,162.0518295560085,255.2945680495085,82.62348219337271,53.37298348444384,0.01282254233956337,0.11021144688129425
3,2,186.37457832406315,246.47167656331462,125.56975352848455,40.23077667735409,0.009186666458845139,0.01659988798201084
4,3,215.65557166977902,275.3473065190536,138.97166812904283,42.55418056369852,0.013102903962135315,0.01273037027567625
5,4,278.66167825218014,441.9046949536163,162.5688647610138,71.18193395849325,0.0126644317060709,0.016166511923074722
6,5,235.532813754408,295.61054187309594,181.63948770037197,32.335155604960974,0.009816420264542103,0.012031082063913345
7,6,245.94050083969447,344.1596031881183,153.75204382413693,68.74865887669502,0.010474387556314468,0.010935483500361443
8,7,264.3069961195646,335.8891987163661,214.40415873169482,36.31435542770087,0.012237106449902058,0.03511747717857361
9,8,182.00810568128497,256.18576355038334,99.78332430523831,39.796091687885564,0.011244179680943489,0.01547425426542759
10,9,216.80459240119126,258.45587958703277,134.036300478785,38.83592339063867,0.010263334028422832,0.012087482027709484
11,10,233.87213820490152,343.7475862410025,151.5549932314836,63.809519372088765,0.010522532276809216,0.012298964895308018
